Source,Site,Kind,location,substrate,type,1302,1300,1298,1296,1292,1292',Ia,Ib,Ic,IIa,IIa',IIb,IIb',IIc,IIc',IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',Iia-tot,Iib-tot,Iic-tot,,iiia-tot,IIIb-tot,IIIc-tot,FR.TETR,FR.PEN,FR.HEX,Br6/5+6,NoRINGStetra,NoRINGSpenta5,NoRINGSpenta6,NoRINGSpenta,IRpenta,IRhexa
"Naafs et al., 2017","Fransne 2008&2010, French Jura",core lipid,Global peat,Peat,modern,28402,0,0,0,0,0,57,0,0,39,0,0,0,0,0,4,0,0,0,0,0,39,0,0,,4,0,0,57,39,4,0,0,0,,0,0,0
"Naafs et al., 2017","Fransne 2008&2010, French Jura",core lipid,Global peat,Peat,modern,675008,110665,153816,48708,32375,0,55,2,0,36,0,0,0,0,0,6,0,0,0,0,0,36,0,0,,6,0,0,57,36,6,0,0.035,0,,0,0,0
"Naafs et al., 2017","Fransne 2008&2010, French Jura",core lipid,Global peat,Peat,modern,51152,14298,16391,4488,0,0,50,2,1,40,0,0,0,0,0,5,1,1,0,0,0,40,0,0,,6,1,0,53,40,7,0.021,0.075,0,,0,0,0.143
"Naafs et al., 2017","Fransne 2008&2010, French Jura",core lipid,Global peat,Peat,modern,8265610,806574,1156286,464078,232760,0,50,2,0,41,0,0,0,0,0,6,0,0,0,0,0,41,0,0,,6,0,0,52,41,6,0,0.038,0,,0,0,0
"Naafs et al., 2017","Fransne 2008&2010, French Jura",core lipid,Global peat,Peat,modern,249790,37148,46686,14172,14307,0,46,2,0,43,0,0,0,0,0,6,0,1,1,1,0,43,0,0,,6,2,1,48,43,9,0.019,0.042,0,,0,0,0.111
"Naafs et al., 2017","Fransne 2008&2010, French Jura",core lipid,Global peat,Peat,modern,5027196,383677,608133,186058,96449,0,54,2,0,39,0,0,0,0,0,3,0,0,0,0,0,39,0,0,,3,0,0,56,39,3,0,0.036,0,,0,0,0
"Naafs et al., 2017","Fransne 2008&2010, French Jura",core lipid,Global peat,Peat,modern,27303,0,0,0,0,0,59,3,1,33,0,0,0,0,0,3,0,0,0,0,0,33,0,0,,3,0,0,63,33,3,0,0.079,0,,0,0,0
"Naafs et al., 2017","Fransne 2008&2010, French Jura",core lipid,Global peat,Peat,modern,569482,78325,136729,41793,32637,0,61,3,0,31,0,0,0,0,0,4,0,0,0,0,0,31,0,0,,4,0,0,64,31,4,0,0.047,0,,0,0,0
"Naafs et al., 2017","La Guette, Sologne",core lipid,Global peat,Peat,modern,20250269,4728751,5232364,1589823,27666848,0,45,5,1,35,0,1,0,0,0,11,0,0,1,0,0,35,1,0,,11,1,0,51,36,12,0.021,0.137,0.028,,0.028,0,0.083
"Naafs et al., 2017","La Guette, Sologne",core lipid,Global peat,Peat,modern,11016662,1017985,944100,256948,720103,0,57,1,1,34,0,1,0,0,0,7,0,0,0,0,0,34,1,0,,7,0,0,59,35,7,0,0.051,0.029,,0.029,0,0
"Naafs et al., 2017","La Guette, Sologne",core lipid,Global peat,Peat,modern,89869139,7029636,7758345,2212458,6581204,0,52,2,2,33,0,1,0,1,0,8,0,0,0,0,0,33,1,1,,8,0,0,56,35,8,0,0.107,0.086,,0.086,0,0
"Naafs et al., 2017",Hochrajen,core lipid,Global peat,Peat,modern,4166745,58946,46840,11252,40609,0,48,0,0,43,0,0,0,0,0,7,0,0,0,0,0,43,0,0,,7,0,0,48,43,7,0,0,0,,0,0,0
"Naafs et al., 2017",Hochrajen,core lipid,Global peat,Peat,modern,20774284,1991156,2234919,239547,1218081,0,57,2,2,34,0,0,0,0,0,4,0,0,0,0,0,34,0,0,,4,0,0,61,34,4,0,0.098,0,,0,0,0
"Naafs et al., 2017",Praz Rodet,core lipid,Global peat,Peat,modern,1148353,63086,61873,6073,29601,0,64,2,0,30,0,0,0,0,0,3,0,0,0,0,0,30,0,0,,3,0,0,66,30,3,0,0.03,0,,0,0,0
"Naafs et al., 2017",Praz Rodet,core lipid,Global peat,Peat,modern,365354,44881,46985,2813,38749,0,63,2,1,30,0,0,0,0,0,3,0,0,0,0,0,30,0,0,,3,0,0,66,30,3,0,0.061,0,,0,0,0
"Naafs et al., 2017",Sortel,core lipid,Global peat,Peat,modern,560400,12156,11129,4002,20663,0,58,1,1,35,0,0,0,0,0,5,0,0,0,0,0,35,0,0,,5,0,0,60,35,5,0,0.05,0,,0,0,0
"Naafs et al., 2017",Sortel,core lipid,Global peat,Peat,modern,8549807,415809,453876,21852,10119,0,45,2,0,39,0,1,0,0,0,12,0,0,0,0,0,39,1,0,,12,0,0,47,40,12,0,0.043,0.025,,0.025,0,0
"Naafs et al., 2017",LÃ¶rmoos,core lipid,Global peat,Peat,modern,745305,47281,37274,0,0,0,59,1,0,37,0,0,0,0,0,2,0,0,0,0,0,37,0,0,,2,0,0,60,37,2,0,0.017,0,,0,0,0
"Naafs et al., 2017",LÃ¶rmoos,core lipid,Global peat,Peat,modern,20615397,460313,538980,205413,0,0,57,1,0,38,0,0,0,0,0,4,0,0,0,0,0,38,0,0,,4,0,0,58,38,4,0,0.017,0,,0,0,0
"Naafs et al., 2017",Kojle Lake,core lipid,Global peat,Peat,modern,7773345,2129312,2776656,1298834,150200,0,65,2,2,28,0,1,0,1,0,2,0,0,0,0,0,28,1,1,,2,0,0,69,30,2,0,0.087,0.1,,0.1,0,0
"Naafs et al., 2017",Kojle Lake,core lipid,Global peat,Peat,modern,56481268,4689139,4408534,2519029,5030800,0,57,3,1,34,0,1,0,1,0,3,0,0,0,0,0,34,1,1,,3,0,0,61,36,3,0,0.082,0.083,,0.083,0,0
"Naafs et al., 2017",Teici Bog,core lipid,Global peat,Peat,modern,530695,33455,58390,30683,0,0,65,2,1,30,0,0,0,0,0,2,0,0,0,0,0,30,0,0,,2,0,0,68,30,2,0,0.059,0,,0,0,0
"Naafs et al., 2017",Teici Bog,core lipid,Global peat,Peat,modern,2891819,245905,257341,172782,5491,0,58,1,1,37,0,0,0,0,0,3,0,0,0,0,0,37,0,0,,3,0,0,60,37,3,0,0.05,0,,0,0,0
"Naafs et al., 2017",Poiana Siol,core lipid,Global peat,Peat,modern,1884758,163187,213119,132900,138934,0,54,1,1,38,0,1,0,0,0,5,0,0,0,0,0,38,1,0,,5,0,0,56,39,5,0,0.054,0.026,,0.026,0,0
"Naafs et al., 2017",Poiana Siol,core lipid,Global peat,Peat,modern,8136268,503165,597065,211402,323157,0,59,1,1,34,0,1,0,0,0,5,0,0,0,0,0,34,1,0,,5,0,0,61,35,5,0,0.049,0.029,,0.029,0,0
"Naafs et al., 2017",Tibetean Plateau,core lipid,Global peat,Peat,modern,42703090,1512613,719811,107294,53573,,34,4,1,46,0,2,0,0,0,11,1,0,0,0,0,46,2,0,,12,0,0,39,48,12,0.017,0.154,0.042,,0.042,0,0.083
"Naafs et al., 2017",Tibetean Plateau,core lipid,Global peat,Peat,modern,16530805,1010490,205226,21073,9672,0,29,3,0,51,0,1,0,0,0,13,2,0,0,0,0,51,1,0,,15,0,0,32,52,15,0.03,0.094,0.019,,0.019,0,0.133
"Naafs et al., 2017",Tibetean Plateau,core lipid,Global peat,Peat,modern,17802025,799247,212509,10483,0,0,31,2,0,50,0,1,0,0,0,13,2,0,0,0,0,50,1,0,,15,0,0,33,51,15,0.03,0.061,0.02,,0.02,0,0.133
"Naafs et al., 2017",Tibetean Plateau,core lipid,Global peat,Peat,modern,7185873,370863,131802,6030,0,0,31,2,0,52,0,1,0,0,0,12,1,0,0,0,0,52,1,0,,13,0,0,33,53,13,0.015,0.061,0.019,,0.019,0,0.077
"Naafs et al., 2017",Andorra,core lipid,Global peat,Peat,modern,984734,129761,192965,70332,0,0,59,6,1,30,0,0,0,0,0,3,0,0,0,0,0,30,0,0,,3,0,0,66,30,3,0,0.121,0,,0,0,0
"Naafs et al., 2017",Andorra,core lipid,Global peat,Peat,modern,781823,150690,228399,0,0,0,57,2,0,36,0,0,0,0,0,4,0,0,0,0,0,36,0,0,,4,0,0,59,36,4,0,0.034,0,,0,0,0
"Naafs et al., 2017",Andorra,core lipid,Global peat,Peat,modern,950865,,0,0,0,0,49,2,0,42,0,0,0,0,0,6,0,0,0,0,0,42,0,0,,6,0,0,51,42,6,0,0.039,0,,0,0,0
"Naafs et al., 2017",Andorra,core lipid,Global peat,Peat,modern,1331667,262355,249341,94043,0,0,45,1,0,46,0,1,0,0,0,5,2,0,0,0,0,46,1,0,,7,0,0,46,47,7,0.037,0.022,0.021,,0.021,0,0.286
"Naafs et al., 2017",Andorra,core lipid,Global peat,Peat,modern,10687251,1781290,1565078,807723,0,0,35,0,0,54,0,1,0,0,0,9,0,0,0,0,0,54,1,0,,9,0,0,35,55,9,0,0,0.018,,0.018,0,0
"Naafs et al., 2017",Andorra,core lipid,Global peat,Peat,modern,10652613,2081106,3024725,880597,0,0,39,1,0,50,0,1,0,0,0,6,3,0,0,0,0,50,1,0,,9,0,0,40,51,9,0.05,0.025,0.02,,0.02,0,0.333
"Naafs et al., 2017",Andorra,core lipid,Global peat,Peat,modern,22364337,1665353,3086945,1671766,0,0,28,0,0,54,0,1,0,0,0,16,0,0,0,0,0,54,1,0,,16,0,0,28,55,16,0,0,0.018,,0.018,0,0
"Naafs et al., 2017",Andorra,core lipid,Global peat,Peat,modern,16096795,1023232,1358612,1531554,0,0,28,0,0,52,0,1,0,0,0,18,0,0,0,0,0,52,1,0,,18,0,0,28,53,18,0,0,0.019,,0.019,0,0
"Naafs et al., 2017",Andorra,core lipid,Global peat,Peat,modern,16569402,943664,1808189,1692570,0,0,29,0,0,55,0,1,0,0,0,15,0,0,0,0,0,55,1,0,,15,0,0,29,56,15,0,0,0.018,,0.018,0,0
"Naafs et al., 2017",Andorra,core lipid,Global peat,Peat,modern,18611059,1045420,2475539,2040411,0,0,39,1,0,43,0,1,0,0,0,11,5,0,0,0,0,43,1,0,,16,0,0,40,44,16,0.083,0.025,0.023,,0.023,0,0.313
"Naafs et al., 2017",Andorra,core lipid,Global peat,Peat,modern,16266106,910385,2027447,1856507,0,0,28,1,0,52,0,1,0,0,0,18,0,0,0,0,0,52,1,0,,18,0,0,29,53,18,0,0.034,0.019,,0.019,0,0
"Naafs et al., 2017",Andorra,core lipid,Global peat,Peat,modern,23281837,990082,2584218,2126174,0,0,31,0,0,52,0,1,0,0,0,15,0,0,0,0,0,52,1,0,,15,0,0,31,53,15,0,0,0.019,,0.019,0,0
"Naafs et al., 2017",Ballyduff Bog,core lipid,Global peat,Peat,modern,379456,12063,7890,2721,10102,194,54,4,2,34,0,2,0,1,0,4,0,0,0,0,0,34,2,1,,4,0,0,60,37,4,0,0.133,0.108,,0.108,0,0
"Naafs et al., 2017",Ballyduff Bog,core lipid,Global peat,Peat,modern,518485,16382,15519,5740,6662,198,51,4,2,35,0,2,0,1,0,4,0,0,0,0,0,35,2,1,,4,0,0,57,38,4,0,0.14,0.105,,0.105,0,0
"Naafs et al., 2017",Ballyduff Bog,core lipid,Global peat,Peat,modern,236445,7022,4505,1597,8115,0,52,4,3,35,0,2,0,1,0,4,0,0,0,0,0,35,2,1,,4,0,0,59,38,4,0,0.169,0.105,,0.105,0,0
"Naafs et al., 2017",Ballyduff Bog,core lipid,Global peat,Peat,modern,315619,10304,8222,2989,7325,0,51,4,2,36,0,2,0,1,0,4,0,0,0,0,0,36,2,1,,4,0,0,57,39,4,0,0.14,0.103,,0.103,0,0
"Naafs et al., 2017",Ballyduff Bog,core lipid,Global peat,Peat,modern,89879,3029,1959,351,6827,0,52,4,2,36,0,1,0,0,0,4,0,0,0,0,0,36,1,0,,4,0,0,58,37,4,0,0.138,0.027,,0.027,0,0
"Naafs et al., 2017",Ballyduff Bog,core lipid,Global peat,Peat,modern,283346,9477,7838,1866,4962,0,55,4,2,33,0,2,0,1,0,4,0,0,0,0,0,33,2,1,,4,0,0,61,36,4,0,0.131,0.111,,0.111,0,0
"Naafs et al., 2017",Ballyduff Bog,core lipid,Global peat,Peat,modern,268145,12440,7938,1620,14287,0,53,3,1,35,0,1,0,1,0,6,0,0,0,0,0,35,1,1,,6,0,0,57,37,6,0,0.088,0.081,,0.081,0,0
"Naafs et al., 2017",Ballyduff Bog,core lipid,Global peat,Peat,modern,265093,12802,10286,0,12413,0,54,4,1,34,0,1,0,1,0,5,0,0,0,0,0,34,1,1,,5,0,0,59,36,5,0,0.102,0.083,,0.083,0,0
"Naafs et al., 2017",Ballyduff Bog,core lipid,Global peat,Peat,modern,774527,65724,65361,7937,27268,0,52,5,1,34,0,1,0,1,0,7,0,0,0,0,0,34,1,1,,7,0,0,58,36,7,0,0.121,0.083,,0.083,0,0
"Naafs et al., 2017",Ballyduff Bog,core lipid,Global peat,Peat,modern,25540521,275545,354587,229767,26942,0,60,1,1,32,0,1,0,0,0,4,1,0,0,0,0,32,1,0,,5,0,0,62,33,5,0.026,0.048,0.03,,0.03,0,0.2
"Naafs et al., 2017",Ballyduff Bog,core lipid,Global peat,Peat,modern,33811547,637483,711656,514822,29232,0,55,2,1,35,0,1,0,0,0,5,1,0,0,0,0,35,1,0,,6,0,0,58,36,6,0.024,0.069,0.028,,0.028,0,0.167
"Naafs et al., 2017",Bissendorfer Moor,core lipid,Global peat,Peat,modern,131100,7337,6200,9362,8557,0,50,4,2,39,0,1,0,0,0,3,0,0,0,0,0,39,1,0,,3,0,0,56,40,3,0,0.143,0.025,,0.025,0,0
"Naafs et al., 2017",Bissendorfer Moor,core lipid,Global peat,Peat,modern,172995,10311,10876,16699,8792,0,50,4,2,39,0,1,0,1,0,3,0,0,0,0,0,39,1,1,,3,0,0,56,41,3,0,0.143,0.073,,0.073,0,0
"Naafs et al., 2017",Bissendorfer Moor,core lipid,Global peat,Peat,modern,92599,6375,5573,5259,5934,0,51,2,1,39,0,1,0,1,0,4,0,0,0,0,0,39,1,1,,4,0,0,54,41,4,0,0.074,0.073,,0.073,0,0
"Naafs et al., 2017",Bissendorfer Moor,core lipid,Global peat,Peat,modern,126519,9103,9242,11018,6961,0,58,3,2,33,0,1,0,0,0,3,0,0,0,0,0,33,1,0,,3,0,0,63,34,3,0,0.111,0.029,,0.029,0,0
"Naafs et al., 2017",Bissendorfer Moor,core lipid,Global peat,Peat,modern,143872,17767,14796,5503,7082,0,50,1,0,41,0,1,0,0,0,7,0,0,0,0,0,41,1,0,,7,0,0,51,42,7,0,0.02,0.024,,0.024,0,0
"Naafs et al., 2017",Bissendorfer Moor,core lipid,Global peat,Peat,modern,20132579,2616291,3419790,3730853,68630,0,59,2,1,34,0,1,0,0,0,2,0,0,0,0,0,34,1,0,,2,0,0,62,35,2,0,0.065,0.029,,0.029,0,0
"Naafs et al., 2017",Bissendorfer Moor,core lipid,Global peat,Peat,modern,5227937,445358,758274,933922,10094,0,46,4,2,43,0,2,0,0,0,3,0,0,0,0,0,43,2,0,,3,0,0,52,45,3,0,0.154,0.044,,0.044,0,0
"Naafs et al., 2017",Bissendorfer Moor,core lipid,Global peat,Peat,modern,121361992,4719472,7026965,8780613,54243,0,47,5,2,40,0,2,0,1,0,3,0,0,0,0,0,40,2,1,,3,0,0,54,43,3,0,0.167,0.093,,0.093,0,0
"Naafs et al., 2017",Kontolanrahka,core lipid,Global peat,Peat,modern,45819,1542,925,213,6511,0,57,2,0,38,0,0,0,0,0,3,0,0,0,0,0,38,0,0,,3,0,0,59,38,3,0,0.034,0,,0,0,0
"Naafs et al., 2017",Kontolanrahka,core lipid,Global peat,Peat,modern,150722,14560,7310,6286,4000,0,51,3,1,42,0,0,0,0,0,3,0,0,0,0,0,42,0,0,,3,0,0,55,42,3,0,0.091,0,,0,0,0
"Naafs et al., 2017",Kontolanrahka,core lipid,Global peat,Peat,modern,87960,4836,3332,1652,3494,0,63,1,1,33,0,0,0,0,0,3,0,0,0,0,0,33,0,0,,3,0,0,65,33,3,0,0.046,0,,0,0,0
"Naafs et al., 2017",Kontolanrahka,core lipid,Global peat,Peat,modern,93730,4340,2627,1268,2268,0,64,1,1,32,0,0,0,0,0,3,0,0,0,0,0,32,0,0,,3,0,0,66,32,3,0,0.045,0,,0,0,0
"Naafs et al., 2017",Kontolanrahka,core lipid,Global peat,Peat,modern,489615,138711,135893,119455,3678,0,45,4,1,46,0,0,0,0,0,5,0,0,0,0,0,46,0,0,,5,0,0,50,46,5,0,0.12,0,,0,0,0
"Naafs et al., 2017",Butterburn Flow,core lipid,Global peat,Peat,modern,57462,849,0,0,2463,0,57,1,2,34,0,1,0,1,0,5,0,0,0,0,0,34,1,1,,5,0,0,60,36,5,0,0.083,0.083,,0.083,0,0
"Naafs et al., 2017",Butterburn Flow,core lipid,Global peat,Peat,modern,64530,0,0,0,2527,0,53,2,2,36,0,1,0,1,0,5,0,0,0,0,0,36,1,1,,5,0,0,57,38,5,0,0.105,0.079,,0.079,0,0
"Naafs et al., 2017",Butterburn Flow,core lipid,Global peat,Peat,modern,48120,882,761,0,3126,0,55,2,1,36,0,1,0,1,0,5,0,0,0,0,0,36,1,1,,5,0,0,58,38,5,0,0.069,0.079,,0.079,0,0
"Naafs et al., 2017",Butterburn Flow,core lipid,Global peat,Peat,modern,33129,0,0,0,1715,0,57,2,1,35,0,1,0,0,0,5,0,0,0,0,0,35,1,0,,5,0,0,60,36,5,0,0.067,0.028,,0.028,0,0
"Naafs et al., 2017",Butterburn Flow,core lipid,Global peat,Peat,modern,753025,45964,41700,6521,61974,0,62,1,1,31,0,1,0,1,0,3,0,0,0,0,0,31,1,1,,3,0,0,64,33,3,0,0.047,0.091,,0.091,0,0
"Naafs et al., 2017",Butterburn Flow,core lipid,Global peat,Peat,modern,37876655,1533737,2314702,1188320,92802,0,55,2,1,34,0,1,0,1,0,6,0,0,0,0,0,34,1,1,,6,0,0,58,36,6,0,0.069,0.083,,0.083,0,0
"Naafs et al., 2017",Butterburn Flow,core lipid,Global peat,Peat,modern,9869066,167320,188093,70712,5619,0,52,2,1,37,0,1,0,1,0,6,0,0,0,0,0,37,1,1,,6,0,0,55,39,6,0,0.073,0.077,,0.077,0,0
"Naafs et al., 2017",Aucayacu,core lipid,Global peat,Peat,modern,70073276,10662325,11897503,9880530,341329,0,94,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,0,0,96,4,0,0,0.031,0,,0,0,
"Naafs et al., 2017",Aucayacu,core lipid,Global peat,Peat,modern,129758200,23661391,24591129,22081053,1062022,308855,94,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,0,0,96,4,0,0,0.031,0,,0,0,
"Naafs et al., 2017",Aucayacu,core lipid,Global peat,Peat,modern,127831528,24324248,20958754,12829530,3147875,628239,93,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,0,0,95,4,0,0,0.032,0,,0,0,
"Naafs et al., 2017",Aucayacu,core lipid,Global peat,Peat,modern,72415052,16829784,12387713,9998237,1441023,271776,91,2,2,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,0,0,95,4,0,0,0.063,0,,0,0,
"Naafs et al., 2017",RiÃ±Ã³n,core lipid,Global peat,Peat,modern,65909267,9817972,12575871,10458602,1694527,212076,91,3,2,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,,1,0,0,96,3,1,0,0.073,0,,0,0,0
"Naafs et al., 2017",Mira Flores,core lipid,Global peat,Peat,modern,132898692,25368405,33029397,31432045,8202464,266546,94,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,96,3,0,0,0.031,0,,0,0,
"Naafs et al., 2017",Mira Flores,core lipid,Global peat,Peat,modern,123845214,18250191,20486069,20219357,880303,145525,95,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,97,2,0,0,0.031,0,,0,0,
"Naafs et al., 2017",Mira Flores,core lipid,Global peat,Peat,modern,36148100,4775644,5488731,5847934,243015,36386,96,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,98,3,0,0,0.031,0,,0,0,
"Naafs et al., 2017",Mira Flores,core lipid,Global peat,Peat,modern,20544536,3303362,4089840,3514674,130705,21246,95,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,98,2,0,0,0.041,0,,0,0,
"Naafs et al., 2017",Mira Flores,core lipid,Global peat,Peat,modern,90937912,18560242,16167938,13800357,1014934,279909,95,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,97,3,0,0,0.031,0,,0,0,
"Naafs et al., 2017",Mira Flores,core lipid,Global peat,Peat,modern,28503304,4808546,5130749,4889862,335884,49131,93,2,2,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,0,0,97,4,0,0,0.062,0,,0,0,
"Naafs et al., 2017",Mira Flores,core lipid,Global peat,Peat,modern,155651795,25669708,32906229,32379118,1320206,352662,96,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,98,2,0,0,0.031,0,,0,0,
"Naafs et al., 2017",Nueva York,core lipid,Global peat,Peat,modern,72494337,11783895,13356441,11245727,696900,69102,95,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,97,3,0,0,0.031,0,,0,0,
"Naafs et al., 2017",Nueva York,core lipid,Global peat,Peat,modern,102918650,11400816,9724392,10709346,1045047,169359,93,1,1,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,0,0,0,95,5,0,0,0.032,0,,0,0,
"Naafs et al., 2017",Nueva York,core lipid,Global peat,Peat,modern,115361593,9186036,14660197,10468730,1171325,118354,96,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,97,3,0,0,0.01,0,,0,0,
"Naafs et al., 2017",Nueva York,core lipid,Global peat,Peat,modern,41641492,5689042,5323085,3168524,308029,83950,95,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,97,3,0,0,0.031,0,,0,0,
"Naafs et al., 2017",Nueva York,core lipid,Global peat,Peat,modern,91388124,10934550,14253566,10820545,1543741,157660,96,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,97,2,0,0,0.01,0,,0,0,
"Naafs et al., 2017",Nueva York,core lipid,Global peat,Peat,modern,128743042,14639090,16327096,15656434,1925815,195800,95,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,96,3,0,0,0.01,0,,0,0,
"Naafs et al., 2017",Nueva York,core lipid,Global peat,Peat,modern,98336678,9980327,10539764,13897548,1038237,158659,95,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,0,0,97,4,0,0,0.031,0,,0,0,
"Naafs et al., 2017",Nueva York,core lipid,Global peat,Peat,modern,66956123,9401847,6785489,5468634,273656,39801,96,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,98,3,0,0,0.031,0,,0,0,
"Naafs et al., 2017",SAN JORGE,core lipid,Global peat,Peat,modern,101493839,15398541,14076205,11250769,3237084,831316,93,1,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,96,3,0,0,0.052,0,,0,0,
"Naafs et al., 2017",SAN JORGE,core lipid,Global peat,Peat,modern,107422099,23367675,24771237,19876453,667761,225157,96,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,98,2,0,0,0.031,0,,0,0,
"Naafs et al., 2017",SAN JORGE,core lipid,Global peat,Peat,modern,81362395,15719408,17918640,12878969,1786108,464615,94,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,96,3,0,0,0.031,0,,0,0,
"Naafs et al., 2017",SAN JORGE,core lipid,Global peat,Peat,modern,138618044,22911453,13168208,14245577,3456510,1210644,93,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,0,0,95,4,0,0,0.032,0,,0,0,
"Naafs et al., 2017",SAN JORGE,core lipid,Global peat,Peat,modern,49511325,6021384,5739890,4607810,746141,229761,96,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,98,2,0,0,0.031,0,,0,0,
"Naafs et al., 2017",SAN JORGE,core lipid,Global peat,Peat,modern,72013446,10734124,13885227,11077346,384117,22426,95,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,99,1,0,0,0.061,0,,0,0,
"Naafs et al., 2017",SAN JORGE,core lipid,Global peat,Peat,modern,71114155,12312162,12637646,12725466,450830,80920,95,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,98,2,0,0,0.051,0,,0,0,
"Naafs et al., 2017",SAN JORGE,core lipid,Global peat,Peat,modern,84192580,17982008,18297032,18377580,962995,210119,95,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,97,3,0,0,0.031,0,,0,0,
"Naafs et al., 2017",SAN JORGE,core lipid,Global peat,Peat,modern,40453089,7142042,6512969,4665331,552290,122140,95,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,97,3,0,0,0.031,0,,0,0,
"Naafs et al., 2017",SAN JORGE,core lipid,Global peat,Peat,modern,59142935,12109049,12393284,11452727,361025,105672,94,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,97,2,0,0,0.052,0,,0,0,
"Naafs et al., 2017",Roca Fuerte,core lipid,Global peat,Peat,modern,140466867,7840967,8454659,6147614,1684677,162530,94,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,97,2,0,0,0.052,0,,0,0,
"Naafs et al., 2017",Roca Fuerte,core lipid,Global peat,Peat,modern,73719501,4901399,4287209,3936400,606307,88307,94,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,97,2,0,0,0.052,0,,0,0,
"Naafs et al., 2017",Roca Fuerte,core lipid,Global peat,Peat,modern,32687988,3952955,4510662,4787983,361696,83821,94,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,97,2,0,0,0.052,0,,0,0,
"Naafs et al., 2017",Roca Fuerte,core lipid,Global peat,Peat,modern,36132828,4755274,5520919,4975509,438700,80137,94,1,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,0,0,95,4,0,0,0.011,0,,0,0,
"Naafs et al., 2017",Roca Fuerte,core lipid,Global peat,Peat,modern,40089270,4111737,3503452,3472519,213584,80811,93,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,0,0,95,4,0,0,0.032,0,,0,0,
"Naafs et al., 2017",Roca Fuerte,core lipid,Global peat,Peat,modern,30505660,4045690,3501468,2841156,260123,43840,95,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,0,0,97,4,0,0,0.031,0,,0,0,
"Naafs et al., 2017",Roca Fuerte,core lipid,Global peat,Peat,modern,44546679,4502202,4020651,3403278,398471,58225,95,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,96,3,0,0,0.01,0,,0,0,
"Naafs et al., 2017",Roca Fuerte,core lipid,Global peat,Peat,modern,35384975,5564383,6932241,5749391,792648,67964,95,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,97,2,0,0,0.031,0,,0,0,
"Naafs et al., 2017",Roca Fuerte,core lipid,Global peat,Peat,modern,32630780,5591535,5969202,5597885,673284,45787,97,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,99,2,0,0,0.03,0,,0,0,
"Naafs et al., 2017",Roca Fuerte,core lipid,Global peat,Peat,modern,76907033,3854874,3779734,3122178,919397,134544,92,1,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,0,0,0,93,6,0,0,0.011,0,,0,0,
